id,title,director,release,comic_Id
1,Eternals,Chloé Zhao,2021,NA
2,Avengers: Endgame,"Anthony Russo, Joe Russo",2019,5
3,Thor: Ragnarok,Taika Waititi,2017,NA
4,Iron Man 3,Shane Black,2013,10
5,Avengers: Age of Ultron,Joss Whedon,2015,NA
6,Captain America: Civil War,"Anthony Russo, Joe Russo",2016,7
7,Shang-Shi and The Legends of the Ten Rings,Destin Daniel Cretton,2021,NA
8,Ant-Man,Peyton Reed,2015,NA
9,Captain Marvel,"Anna Boden, Ryan Fleck",2019,NA
10,Doctor Strange,Scott Derrickson,2016,4
11,The Avengers,Joss Whedon,2012,11
